image,source_document,page,source_type,width,height,sha256,content_ratio,duplicate_group,audit_status,audit_flags,include_in_training
images/qkvx8gp__p001.png,-qkvx8gP.pdf,1,pdf,1654,2339,4f1193522949e9959915ddf9127246242f31f8e0d207d618338255f4b0cadd9b,0.041333,,keep,,yes
images/052-facture-acompte-dade-pradella-2022-06-52__p001.png,052_Facture-acompte-DaDe-Pradella-2022-06-52.pdf,1,pdf,1654,2339,bc3627300a5d8933ec75f4ec5cba893f43456a43c777b310a24697916330c1eb,0.029374,,keep,,yes
images/056-facture-final-dade-pradella-2022-56__p001.png,056_Facture-final-DaDe-Pradella-2022-56.pdf,1,pdf,1654,2339,cb52249a19cf455c9c3a8f1eb1ac302460d25da41ad1446e4675714a31440f36,0.026795,,keep,,yes
images/1-1-invoice-35__p001.png,1-1  invoice (35).pdf,1,pdf,1654,2339,a0938cfa739600b4baa11c52de388d64c6c4156979d95aeadf2041ca0cd7875f,0.096707,dup_001,review,exact_duplicate,yes
images/1-1-invoice-35__p002.png,1-1  invoice (35).pdf,2,pdf,1654,2339,ca20925b67a9eab946acd42d7da9af9ba5b56efaf7b5e5a4cbf7cde564069337,0.021191,dup_002,review,exact_duplicate,yes
images/1-10-boulanger__p001.png,1-10 BOULANGER.pdf,1,pdf,1654,2339,ffab1355d706255a7e9bb69da995bd9601e461dd2dea676c17520d5c7776c202,0.253517,,keep,,yes
images/1-6-2026-07-10-13-39-1__p001.png,1-6 2026-07-10 13-39_1.pdf,1,pdf,1654,2359,ce61192fbf2c47750824eae38cbbb481cdfde44d214f81b3b651dded8cada187,0.052381,,keep,,yes
images/1-6-compensation-0026949-202606-q1__p001.png,1-6 Compensation_0026949_202606_Q1.pdf,1,pdf,1655,2128,f4761ae844759f1769bb6c7ec43d1de2d555be6b7a6d676b8800de0b637bfb80,0.039797,,keep,,yes
images/1-6-compensation-0026949-202606-q1__p002.png,1-6 Compensation_0026949_202606_Q1.pdf,2,pdf,1655,2128,8c5ed3a99e80b789db3e8f76fc736c2559c6dd54828da7cf50a7c0df00dba1ea,0.094637,,keep,,yes
images/1-6-compensation-0026949-202606-q1__p003.png,1-6 Compensation_0026949_202606_Q1.pdf,3,pdf,1655,2128,b1185081b6e695b1c346011f1fd1741716ada2f2239f4006e04521e782b4ecee,0.090927,,keep,,yes
images/1-6-compensation-0026949-202606-q1__p004.png,1-6 Compensation_0026949_202606_Q1.pdf,4,pdf,1655,2128,cfb455ffa254afccdd10eb124ffa7df43d5a3918957adc45c6857998eacea25c,0.094301,,keep,,yes
images/1-6-compensation-0026949-202606-q1__p005.png,1-6 Compensation_0026949_202606_Q1.pdf,5,pdf,1655,2128,087409c813e257ec052b4f332853193b7460a74f2faf25cf0bb58d833417d144,0.095886,,keep,,yes
images/1-6-compensation-0026949-202606-q1__p006.png,1-6 Compensation_0026949_202606_Q1.pdf,6,pdf,1655,2128,7406747e69cb4da0a386cc1ff521a93f9538eef8b5abe590b678d410f1ac26cd,0.092222,,keep,,yes
images/1-6-compensation-0026949-202606-q1__p007.png,1-6 Compensation_0026949_202606_Q1.pdf,7,pdf,1655,2128,d39057159f188080046a627e60a10eee9f6f342ddcc34b3bc4ed4d9aff628b39,0.066582,,keep,,yes
images/1-6-compensation-0026949-202606-q1__p008.png,1-6 Compensation_0026949_202606_Q1.pdf,8,pdf,1655,2128,503268251548c28fd50c0e39050f44211ce65c6ff3699395e9353d1cddb2953c,0.064161,,keep,,yes
images/1-6-compensation-0026949-202606-q1__p009.png,1-6 Compensation_0026949_202606_Q1.pdf,9,pdf,1655,2128,b289be8b5f7bb75af4fc2d47566b213a47e171af2ed876f07b341e2a6cc04ece,0.049332,,keep,,yes
images/1-6-pdf__p001.png,1-6-PDF-.pdf,1,pdf,1653,2339,c7d17a647e738c9eb080db4b51046f58246b8338b65424318bd611f664b17a14,0.137819,,keep,,yes
images/1-6-pdf__p002.png,1-6-PDF-.pdf,2,pdf,1653,2339,99e96af2b29266e9ebfc3ff2d8cc5283c1ee8f77dcda430786453064ab83fec4,0.023010,,keep,,yes
images/10-1-leb-2026-01-260925__p001.png,10-1  LEB-2026-01-260925.pdf,1,pdf,1653,2339,2e42b805b8d6a974993744d0d9a1f8beef5bdd23f6b93e4f6b219f7ad7285f6e,0.032934,,keep,,yes
images/10-10__p001.png,10-10.pdf,1,pdf,1654,2339,c5d2251b7ca7428b32d18ce738dbecca98caf16ef7fbca9a1c9c5076fa104917,0.133609,,keep,,yes
images/11-1-leb-2026-01-261006__p001.png,11-1  LEB-2026-01-261006.pdf,1,pdf,1653,2339,df099936fc4361ed54498ed7a41440a89bc1324a2fcc72a36703354b0cd27613,0.032817,,keep,,yes
images/11-10__p001.png,11-10.pdf,1,pdf,1654,2339,8b9f2aa6219e7949f3d17b0561fdc466aa6f737d31987916c1c698b49ff48b27,0.133870,,keep,,yes
images/12-1-leb-2026-01-266318__p001.png,12-1  LEB-2026-01-266318.pdf,1,pdf,1653,2339,eb57aebc8b08a38e5df97823caf673600726c4af2af6cee8cbad80fa4f6cdb57,0.032864,,keep,,yes
images/12-10__p001.png,12-10.pdf,1,pdf,1654,2339,1846b6d11165a4afe00655dbbf96ae83d1a579192b9538d4029fdb809c715f6a,0.279689,,keep,,yes
