image,source_document,page,source_type,width,height,orientation_angle,orientation_confidence,orientation_applied,perspective_confidence,perspective_corrected,crop_applied,blur_score,brightness,contrast,skew_angle,skew_confidence,deskew_applied,contrast_enhanced,quality_status,quality_flags,sha256,content_ratio,duplicate_group,audit_status,audit_flags,include_in_training
images/qkvx8gp__p001.png,-qkvx8gP.pdf,1,pdf,1654,2339,0,0.925,no,0.000,no,no,3691.952,248.210,30.158,-0.000,0.794,no,no,accepted,,dd913697942d176e206b3b2adcc57ae01d3ea64ce85e742847686f5e519c13ba,0.041333,,keep,,yes
images/052-facture-acompte-dade-pradella-2022-06-52__p001.png,052_Facture-acompte-DaDe-Pradella-2022-06-52.pdf,1,pdf,1654,2339,0,0.928,no,0.000,no,no,1411.647,250.424,26.285,-0.250,0.603,no,no,review,overexposed,0465388f490711851022d2c4646a3115ee9757f3e3ec76013623f0d6a2537329,0.029374,,review,,yes
images/056-facture-final-dade-pradella-2022-56__p001.png,056_Facture-final-DaDe-Pradella-2022-56.pdf,1,pdf,1654,2339,0,0.928,no,0.000,no,no,1344.119,250.680,25.773,-0.250,0.546,no,no,review,overexposed,ce54619e69cec1fb8a5fa79ad122ea554ac087016d5895925f25afef8ab5866d,0.026795,,review,,yes
images/1-1-invoice-35__p001.png,1-1  invoice (35).pdf,1,pdf,1654,2339,0,0.905,no,0.000,no,no,2936.444,246.818,32.138,-0.000,0.835,no,no,accepted,,116c6978c938f5e5822bdfb851496d2fb9ff260c19e8097bd51da59c0cb3c133,0.096707,dup_001,review,exact_duplicate,yes
images/1-1-invoice-35__p002.png,1-1  invoice (35).pdf,2,pdf,1654,2339,0,0.256,no,0.000,no,no,392.477,251.649,23.453,-0.000,0.460,no,no,review,overexposed,35d5a2247cd51dc4f16fbf0452732e688b57eb41a32f80e1d09980daa22f414a,0.021191,dup_002,review,exact_duplicate,yes
images/1-10-boulanger__p001.png,1-10 BOULANGER.pdf,1,pdf,1654,2339,0,0.927,no,0.000,no,no,2747.197,229.473,52.479,-0.500,0.565,no,no,review,skew_uncertain,6e91bbb33fe4b8948644d5298d8edce289d058e92f621c4d1f139930b93d1891,0.253517,,review,,yes
images/1-6-2026-07-10-13-39-1__p001.png,1-6 2026-07-10 13-39_1.pdf,1,pdf,1654,2359,0,0.924,no,0.000,no,no,1895.782,249.021,26.489,-0.250,0.584,no,no,accepted,,71a82ecbd6437de3a3397e3a44ace37b65de1bc7a41b7385db7c0cf94bb934ee,0.052381,,keep,,yes
images/1-6-compensation-0026949-202606-q1__p001.png,1-6 Compensation_0026949_202606_Q1.pdf,1,pdf,1655,2128,0,0.906,no,0.000,no,no,3205.513,247.894,30.877,-0.000,0.782,no,no,accepted,,833fb9d49e91ebfaa4d205b18226e227c1761e5df740bb29b95a5455287a1c0e,0.039797,,keep,,yes
images/1-6-compensation-0026949-202606-q1__p002.png,1-6 Compensation_0026949_202606_Q1.pdf,2,pdf,1655,2128,0,0.922,no,0.000,no,no,9307.409,238.058,46.574,-0.000,0.992,no,no,accepted,,68ae6e1817ac340bf253bc633167402458f5294bbf3b86ae6c1e1be63f81e97b,0.094637,,keep,,yes
images/1-6-compensation-0026949-202606-q1__p003.png,1-6 Compensation_0026949_202606_Q1.pdf,3,pdf,1655,2128,0,0.928,no,0.000,no,no,10193.487,238.453,46.048,-0.000,1.000,no,no,accepted,,37d1c854d1af15bc87b263f14b6042f55770afc564d368af07c5922872dcf976,0.090927,,keep,,yes
